,,Available by individual water year?
SpringRunoff77Days,"Basin-averaged total observed spring runoff from USGS gauge, from date of peak SWE to 77 days later, average for WY 1965-2018 [unit: mm]. (Sum of observed streamflow / Drainage Area)",
SpringRunoff84Days,"Basin-averaged total observed spring runoff from USGS gauge, from date of peak SWE to 84 days later, average for WY 1965-2018 [unit: mm]. (Sum of observed streamflow / Drainage Area)",
SpringRunoff91Days,"Basin-averaged total observed spring runoff from USGS gauge, from date of peak SWE to 91 days later, average for WY 1965-2018 [unit: mm]. (Sum of observed streamflow / Drainage Area)",
MonthMaxRunoff,"Month over which maximum total observed runoff occurs over given water year, average for WY 1965-2018",
WYMonthMaxRunoff,"Water year month over which maximum total observed runoff occurs over given water year, average for WY 1965-2018",
CorrNovSM_SR90Days,Correlation of basin-averaged Nov 1 total soil moisture with SpringRunoff91Days over WY 1965-2018,
PValue_CorrNovSMSR90Days,P-value for CorrNovSM_SR90Days. Significant correlations have p-value < 0.05,
CorrJanSM_SR90Days,Correlation of basin-averaged Nov 1 total soil moisture with SpringRunoff91Days over WY 1965-2018,
PValue_CorrJanSMSR90Days,P-value for CorrJanSM_SR90Days. Significant correlations have p-value < 0.05,
CorrJanSM_SR,Correlation of basin-averaged Jan 1 total soil moisture with observed spring runoff over WY 1965-2018,
PValue_CorrJanSMSR,P-value for CorrJanSM_SR. Significant correlations have p-value < 0.05,
CorrJanSM_RR,Correlation of basin-averaged Jan 1 total soil moisture with observed spring runoff ratio over WY 1965-2018,
PValue_CorrJanSMRR,P-value for CorrJanSM_RR. Significant correlations have p-value < 0.05,
MissingYears,Number of years over period of record WY 1965-2018 with missing USGS streamflow data,
Cluster,"Either cluster 1 or cluster 2, based on k-means clustering of soil moisture change in yearly data. Basin cluster is mode of yearly cluster types.",Y
SpringRunoffPSWEApr30,"Total spring runoff from day of Peak SWE to Apr 30, from observed USGS gage [mm] ",Y
SpringRunoffMay1May31,"Total spring runoff from May 1st to May 31st, from observed USGS gage [mm] ",Y
SpringRunoffJun1Jun30,"Total spring runoff from Jun 1 to Jun 30, from observed USGS gage [mm] ",Y
Snowout,Day of the water year when snow melts out; defined as the first day of the water year after peak SWE when SWE < 5 mm [unit: day],Y
Snowmelt,"Average snowmelt rate for the water year, defined as: Peak SWE [mm] / (Snowout - DOWYPeakSWE) [day], [unit: mm/day]",Y
PercCluster1,Percent of years in record that are categorized as cluster 1,
